用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
lalalajsjd,#卖家想删掉的买家秀#大半夜笑成这个样我会不会得病哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈​,会不会得病,0,,,,,  , , ,"
                        2019年11月15日 00:52
                        ",红米Redmi,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=20,https://weibo.com/5675478676/IgezZ44Co?refer_flag=1001030103_
CowBigStrong,长期不和人交流会不会得病啊​,会不会得病,1,自己,健康,健康保险,担忧,  ,2, ,"
                        2019年11月13日 19:20
                        ",iPhone 11,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=20,https://weibo.com/2808238381/Ig2YXmrvH?refer_flag=1001030103_
JennyLee1019,#李现美的品牌代言人#lx#李现丁宁#半夜醒来，睁眼睛就开始做任务，我想我已经疯了，疯了就疯了吧，谁让你那么优秀，真是爱惨了你@李现ingps:每天睡眠不足五小时会不会得病啊看到你各种笑容更加有动力了​,会不会得病,0,,,,,  ,16,13,"
                        2019年11月13日 03:54
                        ",李现超话,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=20,https://weibo.com/2079731161/IfWV5oGYq?refer_flag=1001030103_
心力交瘁的小傻子,把自己当成树洞的人，时间长了会不会得病呀​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月11日 23:46
                        ",HUAWEI nova 3e,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=21,https://weibo.com/5645165302/IfLRWjYMD?refer_flag=1001030103_
贝贝2贝贝,我免费围观了@成都下水道的回答，问题价值198.00元，快来一起免费围观~O微博问答​,会不会得病,0,,,,,  , , ,"
                        2019年11月11日 13:53
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=21,https://weibo.com/3278067497/IfHZ2nK5m?refer_flag=1001030103_
5299ZYy,当你很难过很难过的时候比较亲近的人只要多问一个字我都会想哭有时候也真怕自己会不会有抑郁症倾向但是我知道我再也不想在这样的环境下呆着因为会得病啊2杭州​,会不会得病,1,自己,健康,健康保险,担忧,  ,3,1,"
                        2019年11月10日 14:42
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=21,https://weibo.com/3876784779/IfySEuZsa?refer_flag=1001030103_
大黑股东BTS,skam比利时版有一个脑洞，萝卜这么不愿意承认自己的性向是不是和爸爸有关，会不会比版爸爸是gay骗婚之后离开了妈妈，害得信教的妈妈得病？所以萝卜才这么排斥？（我就瞎猜）​,会不会得病,0,,,,,  ,7,12,"
                        2019年11月10日 09:54
                        ",skam比利时版超话,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=21,https://weibo.com/2403507960/IfwZNC8Xz?refer_flag=1001030103_
Ni-海燕呐,睡午觉梦到29岁的自己得病可能会死���起床思考这会不会是真的又给双十一自己剁手找了一个合适的理由哈哈哈哈哈哈………​,会不会得病,0,,,,,  ,2,3,"
                        2019年11月09日 14:55
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=21,https://weibo.com/5941750206/Ifpx7xya7?refer_flag=1001030103_
憨厚的瓷砖萝卜,刚才有个人很骄傲的跟我说，我现在做兼职呢，抢就诊号，我说那不就是黄牛么，他说嗯，我说你把号都抢了病人怎么办？这种事情会不会太缺德了？他说看你怎么想了，你不做别人也会做，要不然就别看病。呵呵…什么时候看病挂号能实行实名制，看病出示病人和挂号者的关系。祝愿黄牛家人天天得病2沙河市收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年11月09日 11:43
                        ",HUAWEI P30 Pro,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=21,https://weibo.com/6778099593/Ifoho5F9t?refer_flag=1001030103_
用户7333188163,野鸡送B上门会不会得病？试过的分享一下,会不会得病,0,,,,,  , , ,2019年10月13日 21:19,iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=22,https://weibo.com//IblvAaYOZ?refer_flag=1001030103_
亚里士没有多得,长到这个年纪，有时候会觉得生命太脆弱，稍不留神也许就下辈子见了，然后又感觉自己的生命还挺顽强，二十几岁没遭过什么大灾小难的。但一回想自己糟糕的作息又不禁担心会不会给日后的健康留下隐患，我要是突然得病了怎么办，如果是癌症治不好，没几天活头了怎么办？我爸妈咋办？是不是还得发个票圈告诉大家我要走了。简直不可想象。…思来想去，我应该入手几个人身保险了。收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  ,1, ,"
                        2019年11月07日 09:03
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=22,https://weibo.com/6331615074/If4ntsNN6?refer_flag=1001030103_
李必欣,23点10分，随着一阵颠簸，飞机落在跑道上，我，又回到了这个城市，成都。呼吸着熟悉的空气，我闭上眼睛，一个小时前，我还在几百公里之外，世界变的越来越小，我们可以很容易的来到，离开，很多时候，连痕迹也没有留下。当我第一次踏上这个地方时，有人告诉我，这个城市叫做成都，我生活了九年，不管以后会不会留在这里，这个城市都在我的生命里留下了很深的烙印，这段时间里，这个城市里，发生了太多太多影响我成长的故事。张艺谋说，这是一个来了就不想走的城市，如果我也不会走，只是因为，你在这里。在机场候机时，上网看见了张震岳的MV，很多的拥抱，很多的亲吻，很多的温暖，据说演员都是真正的情侣，所以画面才会那么的感人。思念是一种病，就怕你不说，就怕你不做，我说了，我做了，我，得病了。成都，请你告诉我，叫我怎样才能去更加爱你？收起全文d,会不会得病,0,,,,,  ,7,17,"
                        2019年11月06日 23:34
                        ",,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=22,https://weibo.com/2693806643/If0EljTHx?refer_flag=1001030103_
寒冬四棵树,最近总觉得这那不舒服，担心自己是不是得病了会不会有问题，不知道是我想的太多了，还是太闲了虽然说努力很重要，赚钱也很重要，惜命…也挺重要的吧问题就是担心生病了没钱看病！想太多想太多，还是洗洗睡吧​,会不会得病,1,自己,健康,健康保险,担忧,  ,4, ,"
                        2019年11月06日 22:46
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=22,https://weibo.com/2816641063/If0l1n2ra?refer_flag=1001030103_
曲立庆,为啥总是失眠呢，长此下去！会不会得病呀,会不会得病,1,自己,健康,健康保险,失眠,  , , ,"
                        2019年11月06日 03:10
                        ",陌陌,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=22,https://weibo.com/3421468552/IeSDI8M1p?refer_flag=1001030103_
多米米呀米老鼠,取卵后月经总提前！之前都是2.3天！这两个月、一个月提前了5天、一个月6天害怕，我会不会得病了​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年11月04日 23:41
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=23,https://weibo.com/6074155470/IeHQh3AuK?refer_flag=1001030103_
CHENlKz,我好像需要买点安眠药吃我已经不能正常睡眠好久了，每晚看着时间天亮越睡不着越煎熬！我是不是得病了？会不会死掉啊？我不想秃头，这不是我故意要熬的夜！额…我什么时候才能好好睡一觉我因该不会因为不能入睡某天猝死在自己的床上！这要被发现了很丢人啊！救救我我想睡觉​,会不会得病,1,自己,健康,健康保险,失眠,  ,1,2,"
                        2019年11月04日 03:47
                        ",小米8 SE,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=23,https://weibo.com/1914389301/IeA1utqo1?refer_flag=1001030103_
活的很好_,今天聊到一个比较注重会不会得病的人有种把我拉回现实的感觉这一个月过的没心没肺会不会被传染好像不在我的首要考虑范围内除了钱我好像什么都不顾了躺在床上往购物车里添加艾滋试纸好像内心也没有很慌乱当然我还是怕的我怕我死了给家里留下一堆烂摊子像我爸说的你出点什么事我和你妈怎么办求老天给我点时间吧一年也好两年也好让我攒点钱够他们余生生活我死了就死了吧收起全文d,会不会得病,1,自己,健康,健康保险,担忧,1, ,1,"
                        2019年11月03日 17:06
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=23,https://weibo.com/7315045415/IevPDD4mR?refer_flag=1001030103_
猫妖不爱吃鱼Vi,那种结婚了，还惦记前女神的猥琐男，可真吃不消，和这种巨婴结婚，会不会时刻担心财产安全呀。难怪玩得好的弟弟说结婚秒老，遇到这种想出去摆骚，鬼混没得逞，回来还要耍威风的鸡贼男。也是迷惑。女人和这种男人相处，可比当他妈难多了。怕得病呀，怕破财呀，还怕被闹得精分。没钱肯定不咋样，有点点钱就要作妖，可怕，格局太低了。收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年11月02日 19:48
                        ",nova4e 3200W立体美颜,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=23,https://weibo.com/1900400905/IensOnvuU?refer_flag=1001030103_
我竟然瘦了,可第一次按摩的痛觉会记得第一次得病的难受也会记得第一次当面被人骂的莫名其妙也会不会记得呢或者第一次在网上看到骂你的造谣你的心情你是不是都会记得只是现在麻木了,会不会得病,0,,,,,  , , ,2019年11月02日 11:25,小米CC9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=23,https://weibo.com/5732343993/IekaDxmMW?refer_flag=1001030103_
taku的小号,有的时候特别希望自己得病，甚至想死一次看看会有谁在意自己。同事自杀都那么着急，不知道我自杀会不会？​,会不会得病,0,,,,,  , , ,"
                        2019年11月01日 21:59
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=24,https://weibo.com/5536956455/IeeTrEZnr?refer_flag=1001030103_
手机用户9874267426,不行不行最近坏情绪越来越多了骂人都没有办法舒缓情绪了我怎么办怎么办好焦虑我会不会真的得病啊我不想我真的不想​,会不会得病,1,自己,健康,健康保险,焦虑,  , , ,"
                        2019年11月01日 20:53
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=24,https://weibo.com/7126948927/IeesGuz93?refer_flag=1001030103_
个冰,每次刷到那种主人公无意中发现自己生病的帖子，就担心的要命，自己会不会也得病了，会不会死。。。小时候总觉得每一个人都能活到一百岁，自己当然也不例外，父母家人当然也不例外，可是经历了太多，自己能不能活到一百岁真的是个未知数，我如果真的早死了该怎么办呢？我其实还是很爱很爱这个世界的，我虽然有时候厌恶生活，可又很热爱生活，喜欢这种有意识的自己掌控生活的感觉。生命有意识，活着的生命，常常令人感动。我明白了，我就是个怕死的人，我想好好活着，用这造物主赐予的鲜活的生命活着。所有情绪我都接受。收起全文d,会不会得病,1,自己,健康,健康保险,担忧,  , ,1,"
                        2019年11月01日 15:12
                        ",HUAWEI Mate 9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=24,https://weibo.com/2591360830/Iece5hKMt?refer_flag=1001030103_
这个人儿喜欢琪琪呀,我每天这样心情大起大落的我会不会得病啊​,会不会得病,1,自己,健康,健康保险,担忧,  , , ,"
                        2019年10月31日 16:46
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=24,https://weibo.com/7307943750/Ie3pQ4UtZ?refer_flag=1001030103_
Susie范,情感压抑会不会得病。。​,会不会得病,1,自己,健康,健康保险,担忧,  ,8,1,"
                        2019年10月31日 00:03
                        ",HUAWEI nova 2s,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=25,https://weibo.com/2142979687/IdWQKAaNc?refer_flag=1001030103_
